problema;modelo;ub_cmax;fl_ub_cmax;num_maquina;num_jobs;number_of_constraints;number_of_variables;best_bound;funcao_objetivo;number_of_var_values;has_hit_limit;mip_relative_gap;nb_iterations;nb_nodes_processed;nb_linear_nonzeros;status;time;fl_inteiro
ID007_M015_J015;manne;0;s/ ub;15;15;3375;1801;1141.9999999999984;1235.999999993;1062;True;0.07605177993003755;309792250;1753259;9900;time limit exceeded;7200.009273052216;True 
ID007_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1143.0492957746476;1245.9999998871003;1036;True;0.08262496317959295;293887697;1885341;9900;time limit exceeded;7200.011302947998;True 
ID007_M015_J015;manne;0;s/ ub;15;15;3375;1801;nan;940.0;1057;False;nan;1056;0;9900;optimal;0.0225980281829834;False 
ID007_M015_J015;manne;1237;c/ ub;15;15;3375;1801;nan;940.0;1057;False;nan;1056;0;9900;optimal;0.02073979377746582;False 
ID007_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;nan;940.0;1057;False;nan;1056;0;9900;optimal;0.01737499237060547;False 
ID007_M015_J015;minla_fav;1237;c/ ub;15;15;3375;1801;nan;940.0;1057;False;nan;1056;0;9900;optimal;0.018425941467285156;False 
ID009_M015_J015;manne;0;s/ ub;15;15;3375;1801;1242.9999899493996;1243.0;992;False;8.085760574904088e-09;11785011;98596;9900;integer optimal, tolerance;269.12953090667725;True 
ID009_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1242.9001967140848;1243.0;966;False;8.029226541848612e-05;26987005;175151;9900;integer optimal, tolerance;529.477010011673;True 
ID009_M015_J015;manne;0;s/ ub;15;15;3375;1801;nan;935.0;1134;False;nan;1133;0;9900;optimal;0.021087169647216797;False 
ID009_M015_J015;manne;1228;c/ ub;15;15;3375;1801;nan;935.0;1134;False;nan;1133;0;9900;optimal;0.02201104164123535;False 
ID009_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;nan;935.0;1134;False;nan;1133;0;9900;optimal;0.02479720115661621;False 
ID009_M015_J015;minla_fav;1228;c/ ub;15;15;3375;1801;nan;935.0;1134;False;nan;1133;0;9900;optimal;0.019657135009765625;False 
ID011_M015_J015;manne;0;s/ ub;15;15;3375;1801;1196.9999999999984;1300.0;959;True;0.07923076923076436;239530362;1079946;9900;time limit exceeded;7200.007357120514;True 
ID011_M015_J015;manne;1299;c/ ub;15;15;3375;1801;1190.0000000000045;1293.0000000000068;978;True;0.07965970610981729;450381418;2506271;9900;time limit exceeded;7200.008651018143;True 
ID011_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;1195.9999999999986;1301.999999999;978;True;0.08141321044475779;287146899;1462942;9900;time limit exceeded;7200.009957075119;True 
ID011_M015_J015;manne;0;s/ ub;15;15;3375;1801;nan;982.0;1085;False;nan;1084;0;9900;optimal;0.022597789764404297;False 
ID011_M015_J015;manne;1299;c/ ub;15;15;3375;1801;nan;982.0;1085;False;nan;1084;0;9900;optimal;0.0217740535736084;False 
ID011_M015_J015;minla_fav;0;s/ ub;15;15;3375;1801;nan;982.0;1085;False;nan;1084;0;9900;optimal;0.018176794052124023;False 
ID011_M015_J015;minla_fav;1299;c/ ub;15;15;3375;1801;nan;982.0;1085;False;nan;1084;0;9900;optimal;0.01864790916442871;False 
